location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
North Macedonia,2082661.0,82.6,39.1,13.26,8.16,13111.21,322.69,10.08,,,4.28,75.8,0.77,2021-09-14,184277.0,572.0,6307.0,30.0,88481.52,274.65,3028.34,14.4,10617.67,362.52,MKD,Europe,3.42
Norway,5465629.0,14.46,39.7,16.82,10.81,64800.06,114.32,5.31,19.6,20.7,3.6,82.4,0.96,2021-09-14,178481.0,1219.0,829.0,2.0,32655.16,223.03,151.68,0.37,6220.14,3.84,NOR,Europe,0.46
Oman,5223376.0,14.98,30.7,2.36,1.53,37960.71,266.34,12.61,0.5,15.6,1.6,77.86,0.81,2021-09-14,303223.0,60.0,4090.0,1.0,58051.15,11.49,783.02,0.19,579.89,18.57,OMN,Asia,1.35
Pakistan,225199929.0,255.57,23.5,4.5,2.78,5034.71,423.03,8.35,2.8,36.7,0.6,67.27,0.56,2021-09-14,1212809.0,2727.0,26938.0,73.0,5385.48,12.11,119.62,0.32,491.7,10.92,PAK,Asia,2.22
Palau,18174.0,47.24,,,,13240.4,,15.89,7.7,22.7,4.8,73.7,0.83,2021-09-14,2.0,0.0,0.0,0.0,110.05,0.0,,,,,PLW,Oceania,
Palestine,5222756.0,778.2,20.4,3.04,1.73,4449.9,265.91,10.59,,,,74.05,0.71,2021-09-14,374768.0,2660.0,3837.0,6.0,71756.75,509.31,734.67,1.15,10479.91,40.97,PSE,Asia,1.02
Panama,4381583.0,55.13,29.7,7.92,5.03,22267.04,128.35,8.33,2.4,9.9,2.3,78.51,0.82,2021-09-14,462447.0,223.0,7141.0,4.0,105543.36,50.9,1629.78,0.91,3337.38,43.36,PAN,North America,1.54
Papua New Guinea,9119005.0,18.22,22.6,3.81,2.14,3823.19,561.49,17.65,23.5,48.8,,64.5,0.56,2021-09-14,18542.0,130.0,204.0,8.0,2033.34,14.26,22.37,0.88,80.71,1.32,PNG,Oceania,1.1
Paraguay,7219641.0,17.14,26.5,6.38,3.83,8827.01,199.13,8.27,5.0,21.6,1.3,74.25,0.73,2021-09-14,459391.0,51.0,16114.0,5.0,63630.73,7.06,2231.97,0.69,373.43,93.49,PRY,South America,3.51
Peru,33359415.0,25.13,29.1,7.15,4.46,12236.71,85.76,5.95,4.8,,1.6,76.74,0.78,2021-09-14,2162294.0,936.0,198840.0,41.0,64818.1,28.06,5960.54,1.23,853.79,43.38,PER,South America,9.2
Philippines,111046910.0,351.87,25.2,4.8,2.66,7599.19,370.44,7.07,7.8,40.8,1.0,71.23,0.72,2021-09-14,2266066.0,17995.0,35529.0,222.0,20406.38,162.05,319.95,2.0,4722.78,46.73,PHL,Asia,1.57
Poland,37797000.0,124.03,41.8,16.76,10.2,27216.44,227.33,5.91,23.3,33.1,6.62,78.73,0.88,2021-09-14,2894455.0,536.0,75433.0,8.0,76578.96,14.18,1995.74,0.21,241.34,3.55,POL,Europe,2.61
Portugal,10167923.0,112.37,46.2,21.5,14.92,27936.9,127.84,9.85,16.3,30.0,3.39,82.05,0.86,2021-09-14,1057100.0,1058.0,17872.0,6.0,103964.2,104.05,1757.68,0.59,5287.71,30.49,PRT,Europe,1.69
